/* Data file*/

/* Sudoku type is one of easy, medium, hard and devil. 
*/

expert

/* Sudoku puzzle size: The integer on the first line in this file (excluding comments identified with /* ...*/) represents the square dimension of the puzzle board. Puzzle is numbered using row and column index. Row numbers from 1 through 9. Column numbers are from 1 through 9. The top left cell is at (1,1) and the bottom right cell is at (9,9). 
*/

9

/*Cells in all puzzles are numbered using row and column indexes. Row (column) numbers are from 1 through 9. The top left cell is at (1,1) and the bottom right cell is at (9,9). An unsolved puzzle has less than quarter of its cells empty.*/

/*Row, column of a cell precede its entry. For example, the cell located at row 1, column 2, with entry 3 is formatted as 1,2,3.*/

1,9,7
2,2,6
2,4,1
2,8,3
3,1,8
3,5,5
3,8,6
3,9,1
4,5,8
4,6,5
4,7,3
4,9,9
5,2,7
5,5,1
5,8,8
6,1,6
6,3,3
6,4,7
6,5,9
7,1,4
7,2,9
7,5,7
7,9,8
8,2,5
8,6,9
8,8,4
9,1,2


/* A solved puzzle has all the correct entries for all the empty cells*/

1,1,5
1,2,4
1,3,1
1,4,9
1,5,3
1,6,6
1,7,8
1,8,2
1,9,7
2,1,7
2,2,6
2,3,2
2,4,1
2,5,4
2,6,8
2,7,9
2,8,3
2,9,5
3,1,8
3,2,3
3,3,9
3,4,2
3,5,5
3,6,7
3,7,4
3,8,6
3,9,1
4,1,1
4,2,2
4,3,4
4,4,6
4,5,8
4,6,5
4,7,3
4,8,7
4,9,9
5,1,9
5,2,7
5,3,5
5,4,4
5,5,1
5,6,3
5,7,6
5,8,8
5,9,2
6,1,6
6,2,8
6,3,3
6,4,7
6,5,9
6,6,2
6,7,5
6,8,1
6,9,4
7,1,4
7,2,9
7,3,6
7,4,3
7,5,7
7,6,1
7,7,2
7,8,5
7,9,8
8,1,3
8,2,5
8,3,7
8,4,8
8,5,2
8,6,9
8,7,1
8,8,4
8,9,6
9,1,2
9,2,1
9,3,8
9,4,5
9,5,6
9,6,4
9,7,7
9,8,9
9,9,3

/* end of file: ## */

##
