/* Data file*/

/* Sudoku type is one of easy, medium, hard and devil. 
*/

medium

/* Sudoku puzzle size: The integer on the first line in this file (excluding comments identified with /* ...*/) represents the square dimension of the puzzle board. Puzzle is numbered using row and column index. Row numbers from 1 through 9. Column numbers are from 1 through 9. The top left cell is at (1,1) and the bottom right cell is at (9,9). 
*/

9

/*Cells in all puzzles are numbered using row and column indexes. Row (column) numbers are from 1 through 9. The top left cell is at (1,1) and the bottom right cell is at (9,9). An unsolved puzzle has less than quarter of its cells empty.*/

/*Row, column of a cell precede its entry. For example, the cell located at row 1, column 2, with entry 3 is formatted as 1,2,3.*/

1,3,1
2,7,8
2,9,7
3,1,9
3,4,7
3,6,3
3,9,2
4,1,5
4,4,4
4,5,6
4,7,1
5,1,6
5,2,4
5,8,9
5,9,8
6,3,2
6,5,7
6,6,8
6,9,5
7,1,2
7,4,5
7,6,6
7,9,9
8,1,1
8,3,5
9,7,3


/* A solved puzzle has all the correct entries for all the empty cells*/

1,1,7
1,2,2
1,3,1
1,4,6
1,5,8
1,6,5
1,7,9
1,8,3
1,9,4
2,1,4
2,2,5
2,3,3
2,4,1
2,5,2
2,6,9
2,7,8
2,8,6
2,9,7
3,1,9
3,2,6
3,3,8
3,4,7
3,5,4
3,6,3
3,7,5
3,8,1
3,9,2
4,1,5
4,2,8
4,3,9
4,4,4
4,5,6
4,6,2
4,7,1
4,8,7
4,9,3
5,1,6
5,2,4
5,3,7
5,4,3
5,5,5
5,6,1
5,7,2
5,8,9
5,9,8
6,1,3
6,2,1
6,3,2
6,4,9
6,5,7
6,6,8
6,7,6
6,8,4
6,9,5
7,1,2
7,2,3
7,3,4
7,4,5
7,5,1
7,6,6
7,7,7
7,8,8
7,9,9
8,1,1
8,2,9
8,3,5
8,4,8
8,5,3
8,6,7
8,7,4
8,8,2
8,9,6
9,1,8
9,2,7
9,3,6
9,4,2
9,5,9
9,6,4
9,7,3
9,8,5
9,9,1

/* end of file: ## */

##
